7:616,8,302,61,29,58,15,650,518,861
18:32205,47812,63512,902,8,16042,43893,965,1086,1804
19:17,50665,90538,2548,35332,12961,4251,2097,219,394
36:17,736,518,15,61,616,32,8,6,1987
37:65,1126,1987,8,1382,3476,931,3163,402,103
41:17,2193,542,902,61,1023,1405,58,5407,402
42:2193,518,1039,7451,1009,544,1405,3824,508,131
43:542,521,327,2342,656,3304,1987,1023,363,301
44:61,302,616,3101,32,15,1804,564,1200,94
45:347,394,2429,356,650,645,5575,398,76,518
46:596,61,508,3101,8,1245,354,302,1050,76
59:999,402,3017,1471,6527,542,3163,32,2115,15
60:58,302,84,616,8,15,94,224,1804,564
69:61,32,58,76,508,656,402,787,563,1050
70:354,76,8,899,65,654,301,1276,302,6397
94:353,1405,1403,1126,119,363,6894,1752,564,13522
106:32,15,61,94,29,224,3101,66,114,1578
115:61,58,902,999,402,787,518,8,1050,1405
116:94,2548,5480,2275,891,1790,1147,8,1326,984
142:58,61,356,32,114,364,902,1046,66,8
143:394,483,5117,1987,5182,3231,84,17,5287,50665
148:8,15,1023,787,542,4048,902,380,70,1086
150:245,29,61,650,94,17,302,15,518,1196
156:2193,8,58,61,542,656,999,245,1023,787
161:1405,101,84,787,616,542,15,76,226,1614
171:302,15,1196,999,61,650,861,4456,101,554
172:58,101,554,490,32,1578,1050,61,787,1511
174:8,518,11194,3233,9699,185,1099,699,486,4268
177:58,76,61,542,29,483,32,17,15,616
196:542,1196,1050,650,363,616,245,1023,364,564
202:194,1050,1790,32,15,402,787,736,1511,518
211:1131,1508,12160,815,564,1331,31488,65633,2193,5567
217:518,656,999,1405,2115,1126,2140,103,327,131
220:22713,186,10178,7649,4032,68179,46413,13192,39446,1127
223:245,518,564,58,76,1046,103,1196,8,999
224:4797,6243,17,353,584,8,71836,301,1764,245
225:542,302,15,61,103,616,654,1403,6,363
228:302,542,58,1578,101,15,402,787,1245,194
229:15,1086,58,61,363,32,1578,402,787,736
231:542,58,101,302,61,787,616,1196,1086,364
232:3505,50665,79914,7258,78975,61943,8217,4251,2097,91733
238:441,3618,827,11260,4513,10536,4989,9055,1205,14983
241:542,58,554,999,61,1332,1196,356,364,3101
245:262,16786,81,5767,650,3137,508,780,3939,8
249:94,61,518,1987,1267,654,8,15,103,10369
250:518,58,1405,542,402,3313,8,1050,999,1332
253:3107,189,1527,4825,6434,4568,3172,46903,5624,8848
257:17,61,62,542,15,1511,1196,1405,1535,508
272:654,58,1102,8,29,861,650,518,616,1089
273:654,1196,32,902,322,736,94,1086,508,17
288:58,226,61,616,1220,1086,1772,1245,1578,101
290:1535,302,4048,226,194,780,1511,616,94,542
291:508,518,101,1102,84,17,542,564,650,656
292:58,61,508,1511,289,542,1196,32,245,76
294:8,17,15,363,564,61,542,508,65,32
328:654,518,289,766,2193,15,116,6243,1403,5182
331:58,162,17,1511,542,490,4904,1578,15,902
345:1754,77581,385,805,16881,33223,120518,83173,3250,112740
361:58,61,616,32,8,101,15,650,787,518
376:302,58,861,8,2618,322,6,787,616,285
384:542,15,999,61,62,32,17,402,1511,1196
401:61,542,58,616,32,114,245,650,510,508
402:302,1511,542,162,654,4181,15,1403,289,1424
410:1326,984,9874,76,4755,124,10041,2275,698,1468
448:8,61,564,1050,616,542,1046,654,245,1276
449:402,787,8,1050,902,1405,1535,245,17,1511
450:302,15,94,1424,654,1403,1511,29,224,483
452:861,656,1023,554,508,32,13523,1410,5869,1475
476:899,1023,70,124,17,3309,61,1152,94,508
488:61,542,17,616,508,15,402,787,1511,564
490:61,32,17,1050,650,3101,101,302,15,1023
494:1578,58,542,1804,356,564,32,17,101,15
500:654,302,17,58,616,364,239,138,650,162
514:518,1196,364,17,58,999,61,787,62,508
525:61,616,131,1511,508,564,65,1050,15,84
535:2030,32,17,101,354,554,61,1332,542,29
536:650,58,76,616,542,32,8,554,302,226
538:58,101,354,15,61,616,654,32,554,2193
539:3101,1578,15,61,542,1196,1804,564,32,58
564:61,15,518,650,94,356,32,1023,8,76
582:15,84,61,616,32,322,690,736,29,1476
585:17,94,654,70,58,495,61,15,84,787
590:654,902,650,787,542,564,8,101,4181,76
601:50665,90538,2548,118676,35332,12961,4251,2097,219,394
618:554,616,542,58,302,15,226,787,1535,654
624:1462,564,31037,8,8733,2512,5557,3976,1991,34134
627:11539,4671,10071,3739,9790,5512,83175,19731,1077,9594
628:8,8444,219,656,5395,354,1009,7031,2030,5421
632:2967,1126,931,81,353,3423,2955,986,220,774
633:1511,564,302,15,1403,999,61,1960,364,58
634:500,902,508,780,1535,3423,8,58,3867,1109
646:546,1995,56260,1200,2638,20467,5465,709,826,58
666:1337,35817,911,10981,11590,17908,7097,3243,25145,46142
667:32,17,15,58,1405,616,245,1023,103,1511
669:11984,2450,518,6097,11470,4394,760,39616,481,224
678:8,58,17,518,542,564,654,101,302,2172
680:58,61,17,15,8,508,32,736,1196,1086
681:441,245,13,4513,710,3307,8,15,1065,1786
682:9783,12240,1528,21031,30736,6755,9531,7711,29962,16305
683:1190,79332,1254,38054,429,69187,98188,66150,7884,118072
684:8860,984,719,2103,5738,168,801,661,3601,135
715:4671,2543,8392,19378,12861,7334,476,27593,59850,12955
716:302,58,650,616,861,1276,45,542,29,483
741:168,5738,574,8733,8860,984,1230,1400,135,5557
750:564,1050,194,61,3101,32,1578,15,402,787
754:17,58,616,94,101,302,61,1405,542,1568
756:616,15,861,430,162,76,1403,84,61,542
757:17,654,302,616,861,58,650,301,76,285
758:1245,15,76,518,1405,17,748,5711,42,101
763:61,554,787,15,650,1535,1196,3144,32,8
773:861,1196,8,5740,6,3234,650,1208,302,1239
774:61,2831,554,302,194,364,564,32,17,4904
775:94,542,2233,245,15,518,564,285,1405,353
782:1405,65,131,1471,1825,931,245,2302,1511,5117
784:542,17,62,76,1403,650,1405,508,1046,2233
793:654,11396,17030,101,14193,13203,16241,3680,61,780
803:6450,891,1119,3389,1023,182,363,224,3141,1594
813:61,17,650,616,542,114,402,1086,564,1050
815:508,61,364,564,101,15,226,787,1511,518
817:8,58,101,554,616,1102,76,495,322,1511
818:984,5480,1326,7994,5738,11255,9874,72,2103,1147
823:2302,1382,2139,15,94,8,698,226,1126,2200
825:650,616,654,518,58,363,94,542,508,1196
833:58,564,1050,1046,1578,402,787,736,1196,1804
835:61,542,1804,356,58,101,15,486,650,787
838:8066,15131,2548,219,131,6344,1902,7210,1200,1076
844:58,8,787,94,449,354,554,76,690,1023
850:866,17,354,84,58,654,301,61,363,1102
856:1405,364,1050,62,3101,1200,4025,194,999,1332
857:15,302,61,861,32,101,554,76,6,493
874:518,999,787,656,2980,76,119,1196,8398,364
891:17,354,654,29,1153,6874,1099,398,301,76
899:15,518,1987,542,654,32,17,103,1410,188
900:2447,4719,24211,13388,398,9629,8209,37507,5598,20490
911:103,1276,4919,2733,656,302,211,15,76,899
918:245,518,8,94,17,656,1126,402,1023,285
925:302,654,58,84,616,29,564,17,101,554
926:58,32,302,542,364,564,1050,999,650,4697
937:542,58,61,493,508,1511,518,1403,2193,1405
949:17,50665,90538,2548,35332,12961,4251,2097,219,394
964:2403,1405,6210,4268,65,8871,10046,33639,4364,1126
970:2656,14636,9093,8,4300,50946,5010,4613,75359,32906
977:61,1804,17,1245,1200,554,1050,15,3680,999
981:508,1002,29311,2139,5122,4513,8928,35998,58,15
982:245,17,354,2162,8,302,875,1126,84,1987
984:654,1276,1987,564,94,32,245,15,1196,4414
992:245,8,1050,61,363,2200,508,564,65,131
993:58,76,616,84,518,1535,654,1102,361,554
998:542,17,61,650,616,787,564,58,76,1535
1000:542,17,58,902,61,101,402,1804,1050,194
1007:554,1196,690,289,508,1624,17,1245,4181,15
1027:168,7404,8733,1326,11255,9874,7838,2103,1230,5488
1028:61,15,616,94,17,1403,650,363,1405,32
1044:58,302,17,787,101,84,402,1023,62,616
1045:58,17,289,902,61,542,101,518,564,8
1049:3976,8,1050,76,18593,402,1987,2302,225,1023
1068:17,654,302,364,29311,6142,46530,2185,8770,32062
1069:542,32,1196,999,61,3101,787,736,1511,518
1070:616,17,1245,564,58,542,1578,1050,650,1405
1082:61,356,32,66,101,322,902,542,508,3101
1083:394,1276,8,17,654,2908,518,1109,542,138
1088:61,17,58,1405,542,656,8,508,114,322
1094:61,32,1511,58,1403,616,508,2233,402,787
1116:363,564,32,8,302,4364,15,76,1987,61
1121:17,1578,1140,1348,289,568,16476,1372,99297,4833
1125:103,1196,76,61,542,32,787,564,1050,1403
1127:8,61,518,1196,564,6,363,542,65,245
1132:76,650,402,1023,564,8,58,302,15,787
1133:61,1405,32,114,1276,15,402,1511,1050,650
1140:58,61,542,1245,302,402,787,62,1086,356
1141:14259,787,17,4671,8,12955,5767,3739,119,103
1148:76,378,2946,103,4976,302,1109,32,327,70
1153:564,62,542,17,58,1245,902,61,616,1804
1163:17,50665,90538,2548,35332,12961,4251,2097,219,394
1166:131,518,5117,4422,15,5119,103,999,61,1405
1172:1405,1987,787,58,902,2193,616,17,101,302
1192:650,58,616,1220,542,356,861,17,554,302
1204:61,616,654,17,58,302,15,322,6,542
1208:8,58,61,518,616,17,285,1001,554,302
1209:899,2140,354,302,76,1023,363,224,719,564
1234:984,661,168,8860,5488,5480,3698,1326,9874,1740
1236:6759,201,10600,1987,61,32,4268,4919,58,3757
1245:302,84,8,58,354,518,654,891,616,224
1263:58,1245,302,4181,322,650,1196,1086,356,861
1267:542,58,5575,902,518,616,1196,2429,356,190
1269:4755,1352,3107,11725,2880,6434,5624,8848,24581,12990
1288:1017,692,67016,138,17,654,398,780,4835,511
1295:61,542,114,1578,15,564,902,62,616,94
1296:650,29,17,58,61,1023,363,518,859,1196
1302:302,15,356,17,101,554,1403,194,1511,542
1305:302,15,8,58,61,650,1511,542,17,285
1342:84,398,518,656,72675,2097,7667,2880,59184,301
1382:1405,402,1050,1987,1023,5117,8,902,1471,61
1389:75115,1305,4245,61636,40853,99347,238,30727,302,586
1391:26376,5117,5009,3334,32,50665,15182,901,17631,16823
1397:81,140,986,1749,226,5355,2379,508,500,2967
1402:302,58,1140,101,354,554,402,650,1332,1511
1405:90538,1254,116920,84,24722,1039,26932,1959,7031,4251
1407:17,58,902,486,302,84,2193,650,1023,4187
1408:654,17,302,354,866,650,518,542,1410,238
1409:61,616,101,554,15,1403,1511,542,508,2233
1412:302,84,58,17,1102,564,8,1762,430,101
1413:542,15,1086,1403,194,1220,3101,32,1578,101
1418:554,61,15,76,650,32,285,1119,787,94
1419:4755,4825,1712,3172,23191,6434,5624,8848,7880,378
1420:654,302,518,29,58,354,15,61,364,32
1427:61,564,1050,999,17,322,902,1405,356,66
1430:24893,8,508,518,1102,1196,54,58,378,1153
1431:58,542,15,554,999,654,32,1403,84,322
1435:61,3101,302,1086,564,596,1403,194,62,354
1437:787,1535,521,624,1023,542,1276,8,58,302
1441:3307,8,749,1002,2715,226,6559,354,6142,16894
1447:518,8,3162,1126,563,902,2193,999,3233,1794
1448:2326,8,15,1302,1109,81,13895,25695,109953,7669
1457:17,402,61,542,356,32,58,1578,3867,302
1458:402,15,288,2200,1065,1535,17,3313,579,1344
1469:58,61,32,1050,616,542,114,302,1196,364
1477:245,94,2233,230,947,654,17,322,787,1511
1486:45287,1326,5357,9797,1081,12093,13567,16406,984,29172
1490:17,302,76,654,58,866,902,402,61,103
1491:61,542,58,15,322,1511,518,654,32,285
1500:1046,58,1050,61,32,402,787,1804,364,564
1503:58,650,787,542,8,101,15,76,690,61
1517:8514,33238,13152,19518,63167,105561,2200,15247,7160,840
1518:8,508,131,1126,84,402,518,295,3017,902
1535:302,58,3711,542,138,364,690,61,1196,1231
1551:15,61,542,32,1511,1196,650,1535,10181,1245
1552:29723,19245,1402,15294,31783,1099,8892,10906,731,508
1553:58,654,17,542,302,61,616,354,554,698
1559:302,650,363,616,654,114,1276,1578,15,61
1560:103,61,5117,1050,131,15,353,535,1511,518
1561:61,62,542,17,15,1050,999,1046,245,1511
1562:15,542,654,1102,101,902,787,1511,364,162
1569:986,226,81,1418,3756,70,3373,2967,380,225
1570:8,17,302,238,999,3354,616,754,1196,58
1588:245,774,1050,1109,2935,1187,48,262,224,4268
1589:15,518,508,564,654,32,8,58,101,76
1591:50665,90538,2548,35332,12961,4251,2097,219,394,2931
1601:17,899,224,245,15,76,363,62,616,94
1602:1987,2955,4422,131,119,9572,2980,8,1287,295
1629:1405,656,518,1196,58,6,61,654,32,17
1634:20836,23832,8337,29473,76,48832,11367,3847,2901,8226
1642:542,8,32,245,787,1511,76,1403,94,65
1653:616,542,58,650,17,787,736,1511,8,1403
1654:101,542,114,554,902,999,518,1196,1804,356
1655:114,15,650,1511,356,1578,354,787,94,542
1668:1086,650,62,32,15,1405,616,3101,162,402
1681:61,518,542,17,58,656,4181,902,2193,999
1703:32,354,363,518,1050,564,654,596,1119,5517
1721:61,302,289,1126,2163,73,2193,58,119,138
1727:58,17,6,518,29,654,101,84,650,363
1728:302,58,61,616,354,15,30,518,94,1196
1745:518,245,17,119,1410,564,654,354,302,61
1746:58,17,486,787,616,8,302,902,6,61
1751:1119,84,119,496,8,295,656,76,5407,2140
1756:1733,8,2076,245,803,4919,303,999,6393,542
1758:1196,542,17,76,787,1511,1405,62,508,861
1761:25716,6379,508,23824,402,1987,2200,826,1402,7672
1767:8,616,94,518,564,354,15,787,736,58
1779:50665,90538,2548,35332,12961,4251,2097,219,394,2931
1780:9354,13960,10404,67574,8,32648,731,966,866,14314
1783:8,58,17,787,518,61,650,62,356,3101
1787:62,616,508,483,101,902,690,61,289,1196
1788:140,731,508,262,8511,84,3309,1023,780,998
1794:1050,32,564,363,1405,2233,654,17,15,353
1796:61,542,356,32,15,787,1804,364,1578,1403
1803:17,15,194,363,616,542,654,58,302,322
1820:1352,5624,10041,2880,23191,189,12990,46903,16145,8848
1821:61,1405,1987,5117,1403,3233,94,2955,17,402
1822:58,999,32,245,17,302,61,616,2429,356
1823:61,17,15,94,542,508,564,32,114,1578
1840:61,616,1804,356,162,66,1578,902,402,650
1841:8860,984,14226,3211,3709,7994,2103,9783,1400,9295
1842:616,17,58,542,902,322,1511,8,302,1403
1850:58,302,101,322,29,17,76,1832,84,62
1853:1196,32,58,6,61,650,103,62,167,3101
1854:356,32,650,114,17,1578,302,4181,194,94
1862:542,15,616,554,302,1119,61,787,736,508
1880:875,17,354,518,947,8,4420,138,1382,1023
1883:61,402,58,542,32,1403,650,2024,94,114
1890:650,62,58,3448,238,4203,654,14750,302,1050
1891:17,58,654,302,486,162,62,29,1196,101
1893:61,58,616,356,114,15,1804,364,1050,162
1894:616,1050,542,736,1511,1196,1086,564,8,58
1911:19206,29727,3131,13341,5975,35965,5466,10104,39049,58814
1912:8,1762,302,84,518,616,654,1102,17,58
1913:616,101,302,542,861,58,902,518,564,8
1930:7160,5111,197,2548,5627,27094,4755,465,15772,24752
1932:2139,564,8,546,76,1023,1344,17,5553,890
1950:61,114,542,508,356,32,402,1511,1578,554
1951:2121,1360,1287,378,564,654,736,2162,70,873
1952:61,616,3101,17,15,1196,1535,542,861,32
2005:61,542,114,1804,564,508,1046,32,101,518
2017:50665,90538,2548,35332,12961,4251,2097,219,394,2931
2025:17,6766,236,10075,29,58,11621,358,302,33660
2030:94,15,1086,103,1196,3429,138,238,654,1140
2034:787,17,6186,8,239,58,378,748,4755,354
2038:17,302,15,654,94,354,322,6,650,62
2046:27296,13889,10492,53439,17185,9289,11910,17,25662,13408
2058:12597,17944,892,37601,9067,25022,45985,8683,97482,121818
2068:1405,245,1511,94,2233,65,15,402,2200,5117
2070:13580,84,2076,245,803,4919,303,542,1800,656
2071:194,1405,58,1050,61,3101,66,402,518,364
2072:6,518,302,61,2162,1405,94,138,654,596
2074:5975,4671,17316,2543,533,7926,10180,13998,1011,603
2075:61,1050,194,2193,94,542,508,32,114,245
2076:17,50665,90538,2548,35332,12961,4251,2097,219,394
2077:654,245,17,15,1050,616,94,353,1987,1511
2080:15,17,518,58,1403,892,902,61,650,787
2085:542,518,62,17,1276,58,1578,4181,194,322
2097:2193,616,508,402,1023,58,1050,999,1471,61
2112:5480,1326,5557,564,984,76,899,731,94,9783
2115:1405,656,1200,999,616,542,654,32,17,15
2116:616,224,17,61,103,62,542,564,58,554
2123:17,76,508,496,518,8,58,101,363,616
2135:8,15,1126,2200,17,1510,402,2302,787,103
2141:564,698,138,2204,500,81,1535,226,17,542
2147:6059,12673,728,109031,35619,17030,23833,10987,12462,42335
2154:8860,5480,2103,661,3601,3789,5023,72,7838,1740
2160:17,302,1196,15,1403,61,787,1960,356,861
2162:2103,5480,719,7994,14226,661,1400,574,7711,2833
2170:58,61,542,17,902,650,62,1046,356,114
2177:787,8,58,302,356,1348,187,262,3088,289
2184:58,1403,542,449,554,76,902,3539,322,6
2185:363,364,564,32,1403,422,402,61,650,1511
2187:50665,90538,2548,35332,12961,4251,2097,219,394,2931
2211:3307,197,15772,8069,4755,508,27070,3704,1126,465
2223:81,70,58,1023,780,301,17,718,542,521
2243:5117,1050,1405,131,245,353,119,364,8,3976
2244:61,508,17,564,616,542,1046,32,322,690
2247:3249,1405,1276,58,1245,302,322,6,61,518
2250:49715,8,47112,36528,60,4103,1951,23527,1109,262
2253:226,1535,508,4194,7585,4048,834,1023,787,70
2260:17,50665,90538,2548,35332,12961,4251,2097,219,394
2261:61,542,114,1050,76,902,999,1046,32,656
2262:17,50665,90538,2548,35332,12961,4251,2097,219,394
2290:15,61,554,650,363,542,29,224,32,1140
2291:15,542,3101,1140,17,29,1196,1086,1403,194
2293:84,656,1126,402,2302,787,94,3730,579,1800
2301:4032,429,17,7611,65,5567,182,4210,302,1102
2302:16229,17,1728,70923,185,64614,115530,15642,39395,236
2304:2833,661,5480,7711,7994,984,76,2103,11859,1326
2318:61,564,1046,356,3101,114,1578,15,486,402
2325:8,245,84,1405,354,908,875,76,303,564
2335:17,15,61,616,32,245,402,1987,518,1403
2343:17,302,84,8,322,4802,244,8213,650,1023
2346:354,70,15,17,616,1476,58,138,692,179
2347:2186,7728,100785,322,3886,656,114853,106869,837,4251
2348:61,616,32,15,58,654,245,17,1511,1196
2362:17,50665,90538,2548,35332,12961,4251,2097,219,394
2363:61,94,32,656,101,302,4181,15,76,84
2364:302,1403,508,1511,238,650,780,616,861,268
2369:58,4126,616,4941,11641,16155,3634,268,302,1109
2373:17,508,650,58,138,101,302,356,84,61
2381:17,8,101,564,58,554,61,650,736,518
2382:131,1405,3250,94,1825,65,518,364,8,1382
2384:4420,1119,295,7506,6945,4299,2935,17,970,8058
2385:58,302,616,8,61,138,238,564,32,301
2392:17,50665,90538,2548,35332,12961,4251,2097,219,394
2393:8,61,542,508,17,402,58,999,245,1126
2394:564,542,3101,245,302,15,1403,486,6,61
2395:61,356,15,650,1196,508,483,32,1140,17
2399:17,1050,2140,1023,94,500,8,176,2139,76
2405:58,542,32,17,508,1046,356,1578,101,15
2407:58,17,1382,1086,500,11,698,226,902,813
2408:654,518,289,766,2193,15,116,6243,1403,5182
2419:8,568,1180,76,495,289,17,616,861,285
2429:4268,354,2548,1382,1508,774,2200,131,3233,1126
2447:84,8,76,70,1102,754,542,354,15,301
